corp_code,corp_name,stock_code,business_year,fs_label,revenue_current,revenue_previous,op_current,op_previous,revenue_account_name,op_account_name,current_period_name,previous_period_name
00126487,F&F 홀딩스,007700,2023,연결재무제표,1986296503879.0,1816814937477.0,514391689043.0,486231560356.0,수익(매출액),영업이익(손실),제 53 기,제 52 기
00126487,F&F 홀딩스,007700,2024,연결재무제표,1898301562891.0,1986296503879.0,416366707580.0,514391689043.0,매출액,영업이익,제 54 기,제 53 기
00126487,F&F 홀딩스,007700,2025,연결재무제표,1933800848582.0,1898301562891.0,434194766171.0,416366707580.0,매출액,영업이익,제 55 기,제 54 기
01061497,FSN,214270,2023,연결재무제표,175608088741.0,176540642026.0,-5966339136.0,-2148181923.0,영업수익,영업이익(손실),제 9 기,제 8 기
01061497,FSN,214270,2024,연결재무제표,265643193873.0,175608088741.0,831520855.0,-5966339136.0,영업수익,영업이익(손실),제 10 기,제 9 기
01061497,FSN,214270,2025,연결재무제표,272289535445.0,185400336138.0,30518488142.0,11081071741.0,영업수익,영업이익(손실),제 11 기,제 10 기
00220057,GC메디아이,032620,2023,연결재무제표,154040837400.0,133343230209.0,3509125932.0,7547744702.0,매출액,영업이익,제 30 기,제 29 기
00220057,GC메디아이,032620,2024,연결재무제표,190597484288.0,154040837400.0,5162631425.0,3509125932.0,매출액,영업이익,제 31 기,제 30 기
00220057,GC메디아이,032620,2025,연결재무제표,197696072009.0,190597484288.0,7522327112.0,5162631425.0,매출액,영업이익,제 32 기,제 31 기
00491938,GH신소재,130500,2023,연결재무제표,88767723394.0,86852635796.0,4696517331.0,3221779529.0,수익(매출액),영업이익(손실),제 23 기,제 22 기
00491938,GH신소재,130500,2024,연결재무제표,83724815100.0,82791500582.0,7667333768.0,4465317973.0,수익(매출액),영업이익(손실),제 24 기,제 23 기
00491938,GH신소재,130500,2025,연결재무제표,87624459425.0,83724815100.0,6843565684.0,7667333768.0,수익(매출액),영업이익(손실),제 25 기,제 24 기
00557508,GKL,114090,2023,연결재무제표,396693647873.0,262110551065.0,51017881015.0,-13917278200.0,수익(매출액),영업이익(손실),제 19 기,제 18 기
00557508,GKL,114090,2024,연결재무제표,396390016167.0,396693647873.0,38324545939.0,51017881015.0,수익(매출액),영업이익(손실),제 20 기,제 19 기
00557508,GKL,114090,2025,연결재무제표,422947217924.0,396390016167.0,52644453601.0,38324545939.0,수익(매출액),영업이익(손실),제 21 기,제 20 기
